Region,Cocaine
District of Columbia,100
Nevada,99
New Mexico,98
Colorado,96
Illinois,90
Arizona,89
Alaska,88
Texas,88
California,88
Florida,85
West Virginia,84
Massachusetts,84
Oregon,83
Connecticut,83
Wyoming,82
Rhode Island,82
Michigan,82
Washington,81
Nebraska,81
Louisiana,80
Wisconsin,79
New York,79
North Carolina,79
Maine,79
South Carolina,79
Pennsylvania,78
Vermont,77
Kentucky,77
Delaware,76
Hawaii,76
Iowa,76
Virginia,76
Alabama,75
Ohio,75
Georgia,75
Oklahoma,74
Tennessee,74
Missouri,73
Maryland,73
Indiana,72
Arkansas,70
New Jersey,69
Montana,68
New Hampshire,66
Kansas,66
Minnesota,66
North Dakota,65
Utah,64
Idaho,63
Mississippi,62
South Dakota,51
