Region,Fentanyl
Arizona,100
Delaware,92
West Virginia,88
North Dakota,85
South Dakota,84
New Mexico,77
Missouri,74
Tennessee,74
Colorado,71
Pennsylvania,70
Ohio,69
Washington,69
California,68
New Hampshire,68
Arkansas,68
Minnesota,68
Connecticut,67
Idaho,67
Kentucky,67
Florida,66
Mississippi,65
Indiana,65
Massachusetts,64
Rhode Island,64
Kansas,64
Louisiana,63
Oregon,62
Nebraska,62
North Carolina,62
Maryland,62
Maine,60
Oklahoma,59
Alabama,59
Virginia,59
Iowa,58
District of Columbia,57
Georgia,57
South Carolina,56
Texas,56
Nevada,56
Montana,56
Michigan,53
Wisconsin,53
Illinois,52
Wyoming,52
New Jersey,48
Utah,45
Alaska,44
New York,44
Hawaii,40
Vermont,35
