Region,ketamine
Utah,100
Colorado,100
Maine,76
Oregon,74
District of Columbia,73
Washington,71
North Dakota,69
Montana,68
Arizona,66
Idaho,65
Nevada,65
Wyoming,64
New Mexico,64
Minnesota,62
California,62
Massachusetts,61
Illinois,60
Rhode Island,59
Tennessee,59
Connecticut,58
Delaware,58
Michigan,57
Iowa,57
Wisconsin,56
New York,55
Florida,54
Vermont,54
Virginia,53
Kentucky,53
Kansas,52
Maryland,52
Louisiana,52
Arkansas,52
Pennsylvania,52
South Carolina,51
Texas,50
Indiana,50
Alaska,50
Oklahoma,49
Ohio,49
Alabama,48
New Jersey,48
Missouri,47
New Hampshire,47
Hawaii,47
North Carolina,46
Nebraska,46
Georgia,44
West Virginia,43
South Dakota,43
Mississippi,38
