Region,Oxycodone
Alaska,100
Arizona,99
Arkansas,98
Alabama,98
Tennessee,97
Delaware,95
Washington,93
New Mexico,92
Oklahoma,92
Oregon,91
Florida,90
North Carolina,90
South Carolina,89
Kansas,89
Kentucky,89
Colorado,89
Pennsylvania,87
Montana,86
Missouri,86
Ohio,86
Louisiana,85
Minnesota,85
Georgia,85
North Dakota,84
Utah,83
West Virginia,82
Nevada,82
Maryland,81
Virginia,81
Massachusetts,80
Rhode Island,80
Wyoming,80
Connecticut,79
New Hampshire,75
Hawaii,74
New York,73
New Jersey,72
Mississippi,72
South Dakota,68
Indiana,66
Nebraska,66
Maine,65
Wisconsin,65
Vermont,62
Michigan,58
Iowa,56
Idaho,55
District of Columbia,52
California,51
Illinois,43
Texas,41
